English,Korean
the,그만큼
of,~의
and,그리고
to,에게
in,~에
i,나
that,저것
was,~였다
his,그의
he,그
it,그것
with,~와 함께
is,~이다
for,~을 위한
as,~처럼
had,가졌다
you,너
not,~ 아니다
be,BE
her,그녀의
on,~에
at,~에
by,~에 의해
which,어느
have,가지다
or,또는
from,~에서
this,이것
him,그를
but,하지만
all,모두
she,그녀
they,그들
were,~이었다
my,나의
are,~이다
me,나
one,하나
their,그들의
so,그래서
an,안
said,말했다
them,그들을
we,우리
who,WHO
would,~일 것이다
been,계속 ~ 이다
will,~ 할 것이다
no,아니요
when,언제
there,거기
if,만약에
more,더
out,밖으로
into,~ 안으로
do,하다
any,어느
your,당신의
what,무엇
has,가지다
man,남성
could,~할 수 있었다
other,다른
than,~보다
our,우리의
some,일부
very,매우
time,시간
upon,...에
about,~에 대한
may,5월
its,그것은
only,오직
now,지금
like,좋다
little,작은
then,그 다음에
can,~할 수 있다
should,~해야 한다
made,만들어진
did,했다
us,우리를
such,그런
a,에이
great,엄청난
before,~ 전에
must,~ 해야 하다
two,둘
these,이것들
see,보다
know,알다
over,~ 위에
much,많이
down,아래에
after,~ 후에
first,첫 번째
Mr,씨
good,좋은
men,남자들
own,소유하다
never,절대
most,최대
old,오래된
shall,~일 것이다
day,낮
where,어디
those,저것들
came,왔다
come,오다
himself,그 자신
way,방법
work,일하다
life,삶
without,없이
go,가다
make,만들다
well,잘
through,~을 통해
being,존재
long,긴
say,말하다
might,~할 것 같다
how,어떻게
am,~이다
too,~도
even,심지어
def,데프
again,다시
many,많은
back,뒤쪽에
here,여기
think,생각하다
every,모든
people,사람들
went,갔다
same,같은
last,마지막
thought,생각
away,떨어져 있는
under,아래에
take,가져가다
found,설립하다
hand,손
eyes,눈
still,아직
place,장소
while,~하는 동안
just,단지
also,또한
young,어린
yet,아직
though,그렇지만
against,~에 맞서
get,얻다
ever,항상
give,주다
god,하나님
years,연령
off,끄다
face,얼굴
nothing,아무것도 아님
right,오른쪽
once,한 번
another,또 다른
left,왼쪽
part,부분
saw,봤다
house,집
world,세계
head,머리
three,삼
took,가지고 갔다
new,새로운
love,사랑
always,언제나
Mrs,부인
put,놓다
night,밤
each,각
king,왕
between,~ 사이
tell,말하다
mind,정신
heart,마음
few,약간의
because,왜냐하면
thing,물건
whom,누구
far,멀리
seemed,보였다
looked,보았다
called,~라고 불리는
whole,전체
de,드
set,세트
both,둘 다
got,갖다
find,찾다
done,완료
heard,들었다
look,바라보다
name,이름
days,날
told,말했다
let,허락하다
lord,주님
country,국가
asked,물었다
going,가고 있다
seen,본
better,더 나은
p,피
having,데
home,집
knew,알고 있었다
side,옆
something,무엇
moment,순간
father,아버지
among,~ 중에
course,강의
hands,소유
woman,여성
enough,충분한
words,단어
mother,어머니
soon,곧
full,가득한
end,끝
gave,준
room,방
almost,거의
small,작은
thou,천개
cannot,할 수 없다
water,물
want,원하다
however,하지만
light,빛
quite,상당히
brought,가져왔다
nor,...도 아니다
word,단어
whose,누구의
given,주어진
door,문
best,최상의
turned,돌린
taken,찍은
does,하다
use,사용
morning,아침
myself,내 자신
Gutenberg,구텐베르크
felt,펠트
until,~까지
since,~부터
power,힘
themselves,그들 자신
used,사용된
rather,꽤
began,시작했다
present,현재의
voice,목소리
others,다른 사람
white,하얀색
works,공장
less,더 적은
money,돈
next,다음
poor,가난한
death,죽음
stood,서 있었다
form,형태
within,이내에
together,함께
till,...까지
thy,그대의
large,크기가 큰
matter,문제
kind,친절한
often,자주
certain,확실한
herself,그녀 자신
year,년도
friend,친구
half,반
order,주문하다
round,둥근
TRUE,진실
anything,아무것
keep,유지하다
sent,전송된
wife,부인
means,수단
believe,믿다
passed,합격
feet,피트
near,가까운
public,공공의
state,상태
son,아들
hundred,백
children,어린이들
thus,따라서
hope,희망
alone,홀로
above,~ 위에
case,사례
dear,~에게
thee,너를
says,라고
person,사람
high,높은
read,읽다
city,도시
already,이미
received,받았다
fact,사실
gone,다 쓴
girl,소녀
known,알려진
hear,듣다
times,타임스
least,최소
perhaps,아마도
sure,확신하는
indeed,물론
english,영어
open,열려 있는
body,몸
itself,그 자체
along,~을 따라
land,땅
return,반품
leave,떠나다
air,공기
nature,자연
answered,대답했다
either,어느 하나
law,법
help,돕다
lay,놓다
point,가리키다
child,어린이
letter,편지
four,네
wish,소망
fire,불
cried,울었다
2,2
women,여성
speak,말하다
number,숫자
therefore,그러므로
hour,시간
friends,친구
held,유지된
free,무료
war,전쟁
during,~ 동안
several,여러 개의
business,사업
whether,~이든
er,어
manner,방법
second,두번째
reason,이유
replied,대답했다
united,연합된
call,부르다
general,일반적인
why,왜
behind,뒤에
became,~가 되었다
john,남자
become,~이 되다
dead,죽은
earth,지구
boy,소년
lost,잃어버린
forth,앞으로
thousand,천
looking,찾고
I'll,아픈
family,가족
soul,영혼
feel,느끼다
coming,오는
England,영국
spirit,영혼
question,질문
care,케어
truth,진실
ground,지면
really,정말
rest,나머지
mean,평균
different,다른
making,만들기
possible,가능한
fell,쓰러뜨리다
towards,...쪽으로
human,인간
kept,유지된
short,짧은
town,도시
following,수행원
need,필요
cause,원인
met,만났다
evening,저녁
returned,반환
five,다섯
strong,강한
able,할 수 있는
french,프랑스 국민
live,살다
lady,숙녀
subject,주제
sn,sn
answer,답변
sea,바다
fear,두려움
understand,이해하다
hard,딱딱한
terms,자귀
doubt,의심
around,약
ask,묻다
arms,무기
turn,회전하다
sense,감각
seems,것 같다
black,검은색
bring,가져오다
followed,팔로우함
beautiful,아름다운
close,닫다
dark,어두운
hold,잡고 있다
character,성격
sort,종류
sight,시력
ten,열
show,보여주다
party,파티
fine,괜찮은
ye,이인칭 대명사
ready,준비가 된
story,이야기
common,흔한
book,책
electronic,전자
talk,말하다
account,계정
mark,표시
interest,관심
written,쓴
can't,캔트
bed,침대
necessary,필요한
age,나이
else,또 다른
force,힘
idea,아이디어
longer,더 길게
art,미술
spoke,살
across,가로질러
brother,형제
early,일찍
ought,영
sometimes,때때로
line,선
saying,속담
table,테이블
appeared,등장
river,강
continued,계속되는
eye,눈
ety,에티
sun,해
information,정보
later,나중에
everything,모든 것
reached,도달했다
suddenly,갑자기
past,과거
hours,시간
strange,이상한
deep,깊은
change,변화
miles,마일
feeling,감정
act,행동
meet,만나다
paid,유급의
further,더 나아가
purpose,목적
happy,행복하다
added,추가됨
seem,~인 것 같다
taking,취득
blood,피
rose,장미
south,남쪽
beyond,그 너머에
cold,추운
neither,어느 것도 아니다
forward,앞으로
view,보다
I've,나는
position,위치
sound,소리
none,없음
entered,입력
clear,분명한
road,도로
late,늦은
stand,서다
suppose,가정하다
la,라
daughter,딸
real,진짜
nearly,거의
mine,내 거
laws,법률
knowledge,지식
comes,온다
toward,~ 을 향하여
bad,나쁜
cut,자르다
copy,복사
husband,남편
six,육
France,프랑스
living,생활
peace,평화
didn't,하지 않았다
low,낮은
north,북쪽
remember,기억하다
effect,효과
natural,자연스러운
pretty,예쁜
fall,떨어지다
fair,공정한
service,서비스
below,아래에
except,제외하고
American,미국 사람
hair,머리카락
London,런던
laid,누워
pass,통과하다
led,~ 주도의
copyright,저작권
doing,행위
army,군대
run,달리다
horse,말
future,미래
opened,열었다
pleasure,기쁨
history,역사
west,서쪽
pay,지불하다
red,빨간색
an',그리고'
4,4
hath,가지고 있다
note,메모
although,하지만
wanted,구함
gold,금
makes,만든다
desire,욕구
play,놀다
master,주인
office,사무실
tried,시험을 마친
front,앞쪽
big,큰
Dr,박사
lived,살았다
certainly,틀림없이
wind,바람
receive,받다
attention,주목
government,정부
unto,~에게
church,교회
strength,힘
length,길이
company,회사
placed,배치됨
paper,종이
letters,편지
probably,아마
glad,기쁜
important,중요한
especially,특히
greater,보다 큰
yourself,당신 자신
fellow,사람
bear,곰
opinion,의견
window,창문
ran,달렸다
faith,믿음
ago,~ 전에
agreement,합의
charge,요금
beauty,아름다움
lips,입술
remained,남아있다
arm,팔
latter,후자
duty,의무
send,보내다
distance,거리
silence,고요
foot,발
wild,야생의
object,물체
die,주사위
save,구하다
gentleman,신사
trees,나무
green,녹색
trouble,문제
smile,웃다
books,서적
wrong,잘못된
various,다양한
sleep,잠
persons,명
blockquote,인용구
happened,일어난
particular,특정한
drew,그렸다
minutes,분
hardly,거의 ~ 아니다
walked,걸었다
chief,셰프
chance,가능성
according,~에 따라
beginning,시작
action,행동
deal,거래
loved,사랑받았다
visit,방문하다
thinking,생각
follow,따르다
knows,알고 있다
try,노력하다
presence,있음
heavy,무거운
sweet,달콤한
plain,솔직한
donations,기부
immediately,즉시
wrote,썼다
mouth,입
rich,부자
thoughts,생각
months,개월
u,유
afraid,두려워하는
Paris,파리
single,하나의
joy,기쁨
enemy,적
broken,고장난
unless,~하지 않는 한
states,주
ship,배
condition,상태
carry,나르다
exclaimed,외쳤다
including,포함
filled,채우는
seeing,봄
influence,영향
write,쓰다
boys,소년들
appear,나타나다
outside,밖의
secret,비밀
parts,부분품
please,제발
appearance,모습
evil,사악한
march,3월
George,성 조지
whatever,무엇이든
slowly,느리게
tears,눈물
horses,말
places,장소
caught,잡았다
stay,머무르다
instead,대신에
struck,쳤다
blue,파란색
York,요크
impossible,불가능한
period,기간
sister,자매
battle,전투
school,학교
Mary,메리
raised,높은
occasion,기회
married,기혼
man's,남자의
former,이전의
food,음식
youth,청년
learned,배운
merely,그저
reach,도달하다
system,체계
twenty,이십
dinner,저녁
quiet,조용한
easily,쉽게
moved,움직이는
afterwards,나중에
giving,주는
walk,걷다
stopped,중지됨
laughed,웃었다
language,언어
expression,표현
week,주
hall,홀
danger,위험
property,재산
wonder,궁금하다
usual,평소
figure,수치
born,태어나다
court,법원
generally,일반적으로
grew,성장했다
showed,보여주었다
getting,구하는
ancient,고대의
respect,존경
third,제삼
worth,가치
simple,단순한
tree,나무
leaving,퇴거
remain,유지하다
society,사회
fight,싸움
wall,벽
result,결과
heaven,천국
William,윌리엄
started,시작했다
command,명령
tone,음정
regard,관심
expected,예상되는
mere,호수
month,월
beside,옆에
silent,조용한
perfect,완벽한
experience,경험
street,거리
writing,글쓰기
goes,간다
circumstances,상황
entirely,전적으로
fresh,신선한
duke,공작
covered,덮여
bound,경계
east,동쪽
wood,목재
stone,결석
quickly,빠르게
notice,알아채다
bright,밝은
Christ,그리스도
boat,보트
noble,고귀한
meant,의미했다
somewhat,약간
sudden,갑자기
value,값
c.,기음.
direction,방향
chair,의자
due,~로 인한
support,지원하다
tom,남자 이름
date,날짜
waiting,대기 중
Christian,신자
village,마을
lives,삶
reading,독서
agree,동의하다
lines,윤곽
considered,존경받는
field,필드
observed,관찰됨
scarcely,거의
wished,원했다
wait,기다리다
greatest,가장 큰
permission,허가
success,성공
piece,조각
British,영국인
ex,전-
Charles,찰스
formed,형성된
speaking,말하기
trying,견딜 수 없는
conversation,대화
proper,적절한
hill,언덕
music,음악
opportunity,기회
that's,그건
German,독일 사람
afternoon,오후
cry,울다
cost,비용
allowed,허용된
girls,여자애들
considerable,많은
c,기음
broke,파산
honour,명예
seven,일곱
private,사적인
sit,앉다
news,소식
top,맨 위
scene,장면
discovered,발견
marriage,결혼
step,단계
garden,정원
race,경주
begin,시작하다
per,당
individual,개인
sitting,좌석
learn,배우다
political,정치적인
difficult,어려운
bit,조금
speech,연설
Henry,헨리
lie,거짓말하다
cast,깁스
eat,먹다
authority,권한
etc.,등.
floor,바닥
ill,아픈
ways,방법
officers,임원
offered,제공
original,원래의
happiness,행복
flowers,월경
produced,생산
summer,여름
provide,제공하다
study,공부하다
religion,종교
picture,그림
walls,벽
personal,개인의
America,미국
watch,보다
pleased,기쁜
leaves,나뭇잎
declared,선언하다
hot,더운
understood,이해했다
effort,노력
prepared,준비된
escape,탈출하다
attempt,시도
supposed,추정된
killed,사망
fast,빠른
author,작가
Indian,옥수수
brown,갈색
determined,단호한
pain,통증
spring,봄
takes,걸립니다
drawn,그어진
soldiers,군인
houses,주택
beneath,~ 아래에
talking,말하는
turning,선회
century,세기
steps,단계
intended,예정된
soft,부드러운
straight,똑바로
matters,문제
likely,~할 것 같은
corner,모서리
trademark,등록 상표
justice,정당성
simply,간단히
produce,생산하다
trust,신뢰하다
appears,나타납니다
laugh,웃다
forget,잊다
Europe,유럽
passage,통로
eight,여덟
closed,닫은
ourselves,우리 스스로
gives,준다
dress,드레스
passing,통과
terrible,끔찍한
required,필수의
medium,중간
efforts,노력
sake,동기
breath,호흡
wise,지혜로운
ladies,숙녀
possession,소유
pleasant,즐거운
perfectly,아주
o',영형'
memory,메모리
usually,대개
grave,무덤
fixed,결정된
modern,현대의
spot,점
troops,군대
rise,증가
break,부서지다
fifty,오십
island,섬
meeting,회의
camp,캠프
nation,국가
existence,존재
reply,회신하다
I'd,ID
copies,사본
sky,하늘
touch,만지다
equal,동일한
fortune,행운
v.,다섯.
shore,지주
domain,도메인
named,명명된
situation,상황
looks,외모
promise,약속하다
orders,명령
degree,도
middle,가운데
winter,겨울
plan,계획
spent,지출
allow,허용하다
pale,창백한
conduct,지휘하다
running,달리기
religious,종교의
surprise,놀라다
minute,분
roman,로마 인
cases,사례
shot,발사
lead,선두
move,이동하다
names,이름
